N1_1,VRTG,ALT_RADIO,DIST_TO_THR_CONV,IVV,LOC,PITCH
58.4,1.08,590,3100.45,-704,0.0101,0.9
58.4,1.11,578,3038.85,-608,0.0101,1.1
57.4,0.99,567,2974.06,-624,0.0202,0.7
56.5,1.09,555,2896.5,-736,0.0101,0.5
56.9,1.07,544,2827.87,-672,0.0101,0.9
57,1.02,531,2754.88,-672,0.0101,0.5
55.3,0.95,518,2686.47,-768,0.0101,0.2
55.3,1.12,505,2617.2,-896,0.0202,1.2
55.3,1.17,491,2543.67,-816,0.0101,2.1
55.5,1.07,479,2478.21,-688,0.0101,2.1
55.6,1.02,465,2410.7,-640,0,1.1
55.6,1.06,453,2343.72,-656,0,0.9
56,1.05,442,2285.02,-640,0.0202,0.7
57.4,1.05,430,2211.84,-656,0.0101,0.9
57.5,1.05,418,2140.03,-656,0.0101,0.9
57,1.01,406,2065.36,-752,0.0101,0.2
56.4,1.03,394,1992.99,-800,0.0101,1.2
56.3,1.07,381,1920.69,-832,0.0101,1.6
56.4,1.06,367,1847.66,-784,0.0101,1.8
59.4,1.09,353,1790.57,-768,0.0302,2.1
60.1,1.06,339,1724.03,-656,0.0302,2.3
60,1.02,326,1650.03,-656,0.0101,2.3
60,1.06,313,1570.74,-640,0.0101,1.6
59.9,1.04,300,1494.99,-640,0.0202,1.9
60.1,1.02,286,1413.75,-704,0.0202,1.6
60.1,1.1,274,1343.04,-640,0,2.1
60,1.05,262,1271.37,-608,0.0302,1.8
60.1,1.07,252,1208.06,-544,0.0302,1.2
59.3,1.01,243,1141.35,-656,0.0302,0.5
58,1.06,233,1071.49,-672,0.0504,1.1
58.3,1.1,222,994.45,-720,0.0504,1.2
57.6,1.06,211,925.57,-736,0.0403,0.7
55.5,1.06,198,856.17,-672,0.0403,0.5
55.3,0.98,185,782.61,-752,0.0403,0.2
52.8,1.03,174,712.83,-784,0,1.1
48.8,1.06,161,642.55,-832,0.0302,1.8
53.9,1.1,150,581.36,-784,0.0202,2.5
56.4,1.05,138,521.74,-736,0,2.5
58.1,0.98,124,447.65,-720,0,1.8
58.4,1.07,111,371.07,-752,0.0101,1.2
58.3,1.07,97,293.82,-720,0.0101,1.6
58,1.04,84,217.04,-656,-0.0101,1.4
57.9,1.06,70,134.68,-640,0,1.2
58,1.05,57,55.25,-656,0.0202,1.4
58,1.05,46,17.66,-608,0,1.4
57.5,1.09,35,85.93,-560,0.0101,2.1
54.4,1.06,25,154.21,-464,-0.0302,2.1
49,1.1,16,222.48,-480,-0.0302,3
49.1,1.63,10,290.3,-352,-0.0202,4.4
49.9,1.19,0,358.13,96,-0.0302,4.2
45.9,1.14,0,425.04,-176,-0.0202,3.9
38.6,1.1,0,491.51,-144,-0.0202,2.6
44.3,1.1,0,556.62,-80,-0.0202,0.5
62.3,1.11,0,619.92,-128,0,0
81.1,1.07,0,680.96,-64,-0.0202,-0.4
54.9,1,582,2711.53,-784,-2.4899,1.1
54.9,1.06,569,2641.9,-768,-2.4899,1.4
54.8,1.03,556,2572.27,-736,-2.4899,1.4
54.9,1.05,543,2502.64,-752,-2.4899,1.1
55.1,1.11,530,2433.01,-704,-2.4899,1.1
55.1,1.1,518,2363.38,-576,-2.4899,1.2
56.4,0.96,507,2293.75,-608,-2.4899,0.9
54.3,1.02,495,2224.12,-672,-2.4899,0.7
53.3,1.03,484,2154.49,-672,-2.4899,0.9
53.4,0.98,472,2084.86,-688,-2.4899,0.7
53.4,1.08,460,2015.23,-720,-2.4899,0.7
53.4,1.05,448,1946.05,-688,-2.4899,0.7
53.5,1,436,1876.42,-688,-2.4899,0.4
53.5,1,423,1806.79,-752,-2.4899,0.5
56.4,1.04,410,1737.15,-768,-2.4899,0.9
56.6,1,397,1667.98,-784,-2.4899,0.7
55.1,0.98,383,1598.8,-816,-2.4899,0
54.8,1.01,369,1529.17,-848,-2.4899,0
54.8,1.01,354,1459.54,-864,-2.4899,0.2
54.8,1.02,340,1389.9,-848,-2.4899,0.5
54.8,1,325,1320.27,-832,-2.4899,0.5
54.8,1.02,310,1250.64,-848,-2.4899,0.5
54.8,1.01,295,1181.01,-832,-2.4899,0.4
54.8,0.99,280,1111.38,-848,-2.4899,0.4
54.8,1.03,265,1041.75,-880,-2.4899,0.4
54.8,1.05,251,972.12,-848,-2.4899,0.7
54.9,1.06,236,902.49,-816,-2.4899,0.7
54.9,1,221,832.86,-784,-2.4899,0.7
54.9,0.97,207,763.23,-816,-2.4899,0.5
55.1,1.05,192,693.6,-896,-2.4899,0.7
55.3,1.05,177,623.96,-848,-2.4899,0.9
55.3,0.99,161,554.33,-848,-2.4899,0.5
55.5,1.02,145,484.7,-864,-2.4899,0.9
56.8,1.06,129,415.07,-864,-2.4899,1.1
56.8,1.04,114,345.44,-768,-2.4899,1.1
56.8,1,99,275.81,-768,-2.4899,1.1
56.6,1.03,85,205.73,-752,-2.4899,1.1
56.6,1.05,72,135.64,-688,-2.4899,1.4
56.8,1.03,60,65.56,-640,-2.4899,1.6
56.6,1.01,48,4.52,-608,-2.4899,1.6
56.1,1.09,38,74.6,-592,-2.4899,2.5
57.4,1.12,29,144.69,-448,-2.4899,3.5
58.4,1.1,21,214.77,-304,-2.4899,3.7
57.1,1.01,15,284.4,-224,-2.4899,3.2
50.8,1.03,11,354.03,-224,-2.4899,2.8
47,1.12,7,423.66,-144,-2.4899,4.4
40.1,1.09,5,492.39,-64,-2.4899,4.6
34.6,0.96,3,560.66,-96,-2.4899,3.5
31.5,1.42,1,628.49,-160,-2.4899,2.8
30.9,1.5,0,695.86,-16,-2.4899,2.8
31.1,1.49,0,762.32,-80,-2.4899,2.1
34.9,1.22,0,827.43,0,-2.4899,-0.2
43.9,1.13,0,891.18,-80,-2.4899,-0.4
63,1.11,0,952.68,0,-2.4899,-0.4
81.3,1.05,0,1011.91,-48,-2.4899,-0.4
57.3,0.99,765,3117.32,-624,-0.0403,0.9
56.6,0.96,754,3057.8,-688,-0.0504,0.4
55.8,1.02,741,2997.6,-768,-0.0403,0.5
56.3,1.02,729,2950.93,-784,-0.0403,0.5
56.1,0.99,715,2905.27,-800,-0.0403,0.4
56.1,1.03,700,2848.99,-816,-0.0403,0.5
56.1,1.06,686,2810.55,-800,-0.0202,0.9
56.1,1.07,673,2764.44,-736,-0.0101,1.1
56,1.01,659,2715.39,-656,-0.0202,1.1
56,1.05,647,2661.09,-640,-0.0202,1.2
56,1.02,636,2604.44,-592,-0.0202,1.2
56,0.99,624,2548.66,-624,-0.0101,1.1
56.1,1,613,2486.54,-656,0,0.9
56.1,1.02,601,2437.38,-656,-0.0302,1.1
56,1,589,2377.56,-672,-0.0202,1.1
56,1.01,577,2318.42,-704,-0.0101,0.7
56,1.01,565,2268.53,-736,-0.0302,0.5
56,1.01,551,2212.27,-768,-0.0302,0.9
56,1.04,538,2160.35,-768,-0.0302,0.9
56,1.03,524,2107.73,-736,-0.0302,0.9
56,1.01,510,2062.51,-704,-0.0403,0.7
56,1,497,2006.87,-736,-0.0302,0.5
56.1,1.03,479,1942.75,-752,-0.0302,0.9
56.1,1.02,460,1888.13,-752,-0.0302,1.1
56,1.05,441,1832.72,-736,-0.0302,1.2
56,1.05,420,1763.88,-672,-0.0101,1.6
56,1.08,396,1677.57,-640,-0.0403,1.8
56.1,1.02,373,1595.19,-576,-0.0403,1.8
56.1,1.01,352,1500.39,-592,-0.0403,1.6
56.1,1.04,327,1395.67,-608,-0.0403,1.6
56.1,0.96,305,1286.55,-624,-0.0403,1.2
56.1,1.01,279,1164.4,-672,-0.0504,0.9
56,1,251,1038.33,-720,-0.0706,0.9
56.1,1.02,220,901.22,-752,-0.0504,1.1
56,1.01,192,776.47,-784,-0.0403,1.1
56.5,1.03,162,636.91,-800,-0.0504,1.1
58.4,1.06,138,520.41,-752,-0.0504,1.8
58.8,1.04,117,420.47,-736,-0.0504,1.8
59.1,1.06,97,310.43,-640,-0.0302,2.1
